departure_hour,start_hex_id,end_hex_id,demands
0,35,35,44.63960095
0,196,EastBound,45.347123
0,EastBound,32,98.15319535
0,EastBound,85,70.41141335
0,EastBound,120,154.4542733
0,EastBound,196,45.347123
0,EastBound,199,151.3168833
1,EastBound,150,42.2538738
5,174,WestBound,51.16780794
5,224,EastBound,82.87735266
5,EastBound,178,56.86946616
5,EastBound,226,89.08413444
5,WestBound,39,55.55055324
5,WestBound,69,34.00741824
5,WestBound,227,76.16156478
6,12,12,64.94657876
6,115,WestBound,49.94761457
6,132,EastBound,129.8632987
6,158,EastBound,110.0000448
6,160,EastBound,131.9365613
6,163,EastBound,130.502129
6,183,EastBound,72.36807396
6,185,EastBound,90.73230607
6,187,WestBound,117.5626299
6,192,175,46.51830547
6,195,WestBound,58.43832498
6,196,EastBound,56.06108067
6,199,EastBound,59.75227706
6,211,39,146.9347842
6,215,EastBound,172.1329017
6,216,EastBound,82.31475854
6,222,134,79.11302483
6,225,WestBound,159.5108764
6,237,EastBound,113.46874
6,240,EastBound,60.2093429
6,EastBound,30,146.6967449
6,EastBound,121,80.86549464
6,EastBound,168,54.90614003
6,EastBound,171,109.4181444
6,EastBound,175,98.61771157
6,EastBound,178,78.05106582
6,EastBound,183,85.11127772
6,EastBound,201,42.27127436
6,EastBound,225,43.79018399
6,EastBound,249,197.2679037
6,WestBound,233,67.87840682
6,WestBound,242,117.6039875
7,1,EastBound,68.2031765
7,15,EastBound,98.1412612
7,21,EastBound,83.0121721
7,31,146,84.7205707
7,39,EastBound,209.9068345
7,62,WestBound,130.2784531
7,115,146,88.4518566
7,115,WestBound,82.5348867
7,123,146,76.026902
7,127,67,211.2968966
7,132,EastBound,51.5511178
7,134,134,113.0186069
7,143,EastBound,80.3834909
7,146,31,84.7205707
7,150,EastBound,99.2726046
7,151,204,65.7095324
7,158,209,123.7017134
7,158,EastBound,69.0855719
7,161,WestBound,126.8499456
7,172,EastBound,101.3644208
7,175,EastBound,57.5078853
7,179,WestBound,154.5668653
7,183,EastBound,121.5875396
7,184,EastBound,62.5169623
7,192,EastBound,135.3405063
7,196,146,161.5877715
7,200,EastBound,161.8970648
7,209,EastBound,123.7017134
7,214,168,127.446425
7,214,EastBound,193.6994168
7,215,EastBound,109.2694579
7,222,WestBound,189.5692965
7,225,168,68.061617
7,226,WestBound,224.7049299
7,229,EastBound,128.20575
7,231,EastBound,281.7223564
7,231,WestBound,286.6318423
7,244,WestBound,158.4705963
7,245,164,147.0884764
7,258,WestBound,235.296768
7,EastBound,54,78.7146614
7,EastBound,78,116.7010264
7,EastBound,89,248.7863357
7,EastBound,91,138.6974039
7,EastBound,94,180.8605171
7,EastBound,98,167.6463631
7,EastBound,142,118.0014081
7,EastBound,156,65.0551038
7,EastBound,164,91.9695996
7,EastBound,168,84.6591317
7,EastBound,175,69.0610536
7,EastBound,229,68.6561806
7,EastBound,248,207.6944024
7,WestBound,9,82.3095342
7,WestBound,29,96.903467
7,WestBound,30,196.6683494
7,WestBound,79,237.8104219
7,WestBound,104,104.7239388
7,WestBound,120,78.2090898
7,WestBound,168,95.6330477
7,WestBound,170,67.8337937
7,WestBound,179,354.9130197
7,WestBound,222,189.5692965
8,34,WestBound,91.9527042
8,110,111,85.3603958
8,111,29,131.5837955
8,111,110,85.3603958
8,118,EastBound,152.7712715
8,123,146,109.5609578
8,149,WestBound,102.0712804
8,150,166,74.0904478
8,154,169,96.4307819
8,155,EastBound,212.5138767
8,159,WestBound,132.4271368
8,164,245,147.0884764
8,166,150,74.0904478
8,169,178,96.4307819
8,172,170,57.8523382
8,174,EastBound,116.60952
8,176,176,96.0174751
8,182,195,91.2269688
8,199,93,212.7500977
8,200,200,57.0471739
8,206,173,67.0054885
8,211,227,169.1575161
8,219,204,72.3502104
8,225,168,164.9741363
8,226,EastBound,108.2516582
8,229,WestBound,84.7205707
8,234,EastBound,107.8027939
8,235,245,72.0257537
8,239,216,140.1806712
8,245,235,72.0257537
8,245,WestBound,147.0884764
8,253,EastBound,103.4840043
8,EastBound,43,221.5663122
8,EastBound,65,207.62044
8,EastBound,69,139.8466873
8,EastBound,78,302.5449625
