Hex_ID,Boardings,Alightings,Avg_Wait_min,Avg_Walk_Burden_min
188,0,0,0,0.0
147,0,0,0,4.0
197,1235,1185,1.57,7.67
295,2635,1145,2.79,6.68
629,0,0,0,2.34
1260,0,0,0,8.34
1291,1095,985,1.23,9.82
1416,1025,1160,1.16,6.06
590,0,0,0,18.72
752,595,190,1.07,15.58
801,1105,555,1.51,6.23
634,0,0,0,6.65
193,0,0,0,13.22
301,1805,1420,1.34,11.46
1080,0,0,0,9.68
1037,1020,375,1.01,6.82
576,26385,28660,1.5,4.72
556,65,805,1.12,7.5
1158,0,0,0,8.0
1116,840,540,0.96,9.54
408,1090,3220,1.54,5.68
1438,0,0,0,8.0
1440,450,655,0.9,14.85
790,2635,1860,2.27,5.62
785,775,375,1.66,7.93
797,465,980,1.01,7.75
514,0,0,0,24.0
1079,0,0,0,36.0
675,0,0,0,9.73
618,400,70,1.38,8.0
1348,0,0,0,8.0
696,0,0,0,44.0
575,0,0,0,12.67
574,975,2745,1.43,5.34
237,1230,610,1.04,8.15
689,0,0,0,11.77
1145,0,0,0,16.0
207,0,0,0,24.0
894,0,0,0,6.9
1386,0,0,0,4.0
1205,0,0,0,16.0
700,0,0,0,8.0
628,615,555,1.49,4.0
941,0,0,0,4.0
891,925,275,1.72,5.89
403,0,0,0,8.0
517,1370,920,0.85,8.61
687,790,1360,0.99,5.93
1130,0,0,0,7.57
315,0,0,0,8.0
209,330,75,1.59,4.0
823,630,80,1.31,13.85
554,145,820,1.41,8.5
937,0,0,0,10.7
401,0,0,0,15.36
456,875,695,1.49,7.36
405,0,0,0,15.8
459,0,0,0,16.15
142,0,0,0,13.31
1536,0,0,0,0.0
733,0,0,0,5.24
378,0,0,0,8.0
269,760,305,1.03,6.32
1180,1550,620,1.0,10.04
412,0,0,0,8.0
986,0,0,0,12.0
934,1075,1020,1.0,9.39
354,665,615,2.71,5.56
294,0,0,0,9.04
615,0,0,0,4.0
616,555,5,1.52,0.0
136,695,1380,0.9,7.07
676,0,0,0,8.15
1170,0,0,0,11.01
1171,1095,965,1.01,7.15
96,0,0,0,20.0
153,0,0,0,4.0
152,1195,250,0.98,6.64
890,0,0,0,12.51
636,0,0,0,5.17
580,135,1460,1.33,6.62
571,0,0,0,4.48
1025,0,0,0,17.56
736,0,0,0,4.0
1141,0,0,0,8.0
525,0,0,0,7.53
306,0,0,0,12.0
45,0,0,0,12.0
80,580,130,0.99,14.15
568,0,0,0,9.29
623,280,495,1.14,4.0
943,0,0,0,11.57
1193,0,0,0,24.0
457,0,0,0,4.0
465,0,0,0,4.0
272,0,0,0,8.24
274,280,780,1.48,9.87
895,0,0,0,8.0
1003,170,85,1.09,8.0
1167,0,0,0,4.0
1166,490,990,1.62,11.43
872,0,0,0,4.0
143,0,0,0,20.96
324,0,0,0,44.0
298,0,0,0,6.5
714,0,0,0,16.0
1024,0,0,0,4.0
1068,2160,635,1.03,10.4
840,0,0,0,8.0
453,0,0,0,10.27
508,95,785,0.79,7.31
399,0,0,0,4.13
819,0,0,0,16.0
625,35,280,1.14,5.79
1156,0,0,0,8.15
104,0,0,0,6.79
362,0,0,0,17.2
716,25,310,0.9,7.35
417,0,0,0,15.89
418,0,0,0,8.23
951,0,0,0,20.0
1040,0,0,0,12.72
174,0,0,0,8.0
527,0,0,0,19.17
642,0,0,0,12.71
1090,0,0,0,0.0
1070,0,0,0,8.0
347,0,0,0,4.0
54,30,320,1.0,4.19
842,0,0,0,4.0
892,0,0,0,4.0
998,0,0,0,16.22
1112,0,0,0,10.47
476,0,0,0,16.0
1005,0,0,0,12.0
474,0,0,0,12.0
927,0,0,0,9.33
746,0,0,0,13.93
1132,0,0,0,8.0
684,0,0,0,11.82
1346,450,295,0.98,10.29
904,0,0,0,14.88
993,0,0,0,19.8
983,0,0,0,14.29
189,0,0,0,10.11
1020,0,0,0,16.0
944,0,0,0,11.75
1120,0,0,0,16.0
1408,0,0,0,8.0
1439,0,0,0,0.0
593,0,0,0,8.0
784,0,0,0,7.45
235,0,0,0,7.68
242,0,0,0,14.93
686,0,0,0,11.88
695,0,0,0,15.36
1118,0,0,0,8.0
124,0,0,0,12.0
1065,0,0,0,12.0
897,0,0,0,8.4
137,0,0,0,12.0
1198,0,0,0,18.27
845,0,0,0,11.44
239,0,0,0,7.03
735,0,0,0,8.0
1491,0,0,0,2.6
1078,0,0,0,16.0
987,0,0,0,4.5
352,0,0,0,11.37
470,0,0,0,8.0
468,0,0,0,8.0
1316,0,0,0,21.0
1200,0,0,0,32.0
344,0,0,0,7.35
886,0,0,0,12.0
652,0,0,0,28.0
518,0,0,0,4.0
767,0,0,0,12.0
1042,0,0,0,32.0
1352,0,0,0,12.21
551,100,95,0,4.0
1081,0,0,0,24.0
569,30,20,0,7.0
523,0,0,0,8.0
920,0,0,0,24.0
1140,0,0,0,4.0
1152,0,0,0,8.96
933,0,0,0,4.0
359,0,0,0,12.0
923,0,0,0,44.0
1082,0,0,0,4.0
639,0,0,0,36.0
928,0,0,0,11.43
573,20,15,0,4.0
682,15,20,0,9.42
611,70,65,0,4.0
931,0,0,0,18.0
732,0,0,0,8.0
236,0,0,0,4.83
748,0,0,0,10.2
1133,0,0,0,5.44
289,0,0,0,12.0
261,0,0,0,15.29
1378,0,0,0,3.06
346,0,0,0,12.0
132,0,0,0,16.0
1233,0,0,0,32.0
358,0,0,0,4.0
368,0,0,0,7.28
257,405,220,1.54,12.46
291,0,0,0,8.51
958,0,0,0,16.0
536,0,0,0,40.0
244,0,0,0,13.56
6,0,0,0,16.0
477,0,0,0,4.0
677,0,0,0,2.05
206,0,0,0,20.0
685,0,0,0,0.0
150,0,0,0,2.51
1099,0,0,0,4.0
1128,0,0,0,12.0
1288,0,0,0,12.91
884,0,0,0,20.0
43,0,0,0,20.48
578,0,0,0,8.58
1088,0,0,0,20.0
410,0,0,0,12.0
588,0,0,0,60.0
1006,0,0,0,12.0
988,0,0,0,12.1
947,0,0,0,22.93
584,0,0,0,9.33
638,0,0,0,12.0
844,0,0,0,26.75
292,0,0,0,5.25
1437,0,0,0,12.0
856,0,0,0,16.0
293,0,0,0,8.0
348,0,0,0,3.63
2,0,0,0,17.49
747,0,0,0,24.0
1057,0,0,0,8.0
300,0,0,0,3.0
719,0,0,0,15.45
141,0,0,0,15.0
1101,0,0,0,20.0
534,0,0,0,16.0
570,0,0,0,8.0
1380,0,0,0,1.12
1234,0,0,0,24.0
286,0,0,0,16.0
1169,0,0,0,8.0
355,0,0,0,10.82
621,0,0,0,4.0
148,0,0,0,5.1
737,0,0,0,4.0
67,0,0,0,12.0
1261,0,0,0,12.0
717,0,0,0,8.0
144,0,0,0,12.0
1117,0,0,0,7.73
853,0,0,0,24.0
1087,0,0,0,19.79
1435,0,0,0,12.0
360,0,0,0,12.0
349,0,0,0,12.86
247,0,0,0,4.0
15,0,0,0,20.0
1192,0,0,0,8.76
1095,0,0,0,8.0
1113,0,0,0,11.08
589,0,0,0,12.0
105,0,0,0,8.24
404,0,0,0,24.0
1228,0,0,0,6.0
1526,0,0,0,16.0
992,0,0,0,3.85
770,0,0,0,9.05
77,0,0,0,12.0
834,0,0,0,12.0
99,0,0,0,14.75
1051,0,0,0,4.0
70,0,0,0,8.0
89,0,0,0,5.14
729,0,0,0,0.0
151,0,0,0,3.0
597,0,0,0,0.0
630,0,0,0,2.92
749,0,0,0,24.0
421,0,0,0,4.0
299,0,0,0,7.59
252,0,0,0,8.0
1471,0,0,0,20.0
880,0,0,0,12.0
312,0,0,0,4.0
975,0,0,0,16.42
740,0,0,0,6.59
1318,0,0,0,16.0
1109,0,0,0,20.0
1123,0,0,0,8.0
724,0,0,0,8.0
145,0,0,0,12.8
777,0,0,0,32.0
1426,0,0,0,36.0
1165,0,0,0,4.0
1125,0,0,0,4.0
1159,0,0,0,0.0
620,0,0,0,8.0
782,0,0,0,8.13
802,0,0,0,5.24
94,0,0,0,8.0
1076,0,0,0,8.0
351,0,0,0,4.0
787,0,0,0,21.33
1139,0,0,0,4.0
350,0,0,0,7.58
893,0,0,0,10.26
363,0,0,0,20.0
633,0,0,0,4.0
673,0,0,0,20.0
16,0,0,0,8.0
799,0,0,0,8.0
906,0,0,0,37.25
854,0,0,0,8.7
567,0,0,0,0.0
316,0,0,0,16.0
522,0,0,0,7.11
343,0,0,0,17.55
585,0,0,0,32.0
302,0,0,0,10.29
734,0,0,0,16.0
841,0,0,0,8.0
192,0,0,0,16.0
1023,0,0,0,7.72
303,0,0,0,17.55
485,0,0,0,0.0
577,0,0,0,6.29
455,0,0,0,4.0
185,0,0,0,4.0
896,0,0,0,24.0
1035,0,0,0,16.0
565,0,0,0,12.0
1479,0,0,0,16.0
515,0,0,0,28.0
1215,0,0,0,16.0
972,0,0,0,17.25
978,0,0,0,16.0
956,0,0,0,12.83
1091,115,115,0.74,7.85
249,0,0,0,4.6
1153,0,0,0,10.0
1050,0,0,0,4.0
999,0,0,0,0.0
548,0,0,0,24.1
1007,0,0,0,16.0
1033,0,0,0,12.0
275,0,0,0,6.0
837,0,0,0,4.0
1350,0,0,0,8.0
789,0,0,0,4.0
681,0,0,0,14.0
977,0,0,0,11.0
632,0,0,0,9.7
540,0,0,0,8.0
296,0,0,0,8.21
587,0,0,0,9.43
187,0,0,0,8.0
1443,0,0,0,7.29
1085,0,0,0,19.37
521,0,0,0,4.85
1500,0,0,0,25.04
1083,0,0,0,5.04
871,0,0,0,8.0
954,0,0,0,4.48
979,0,0,0,32.9
198,0,0,0,4.0
287,0,0,0,16.0
1052,0,0,0,8.0
1114,0,0,0,8.0
786,0,0,0,4.0
1071,0,0,0,5.33
792,0,0,0,8.0
222,0,0,0,8.0
533,0,0,0,28.0
649,0,0,0,24.0
741,0,0,0,4.0
409,0,0,0,4.26
1021,0,0,0,12.0
277,0,0,0,12.42
953,20,10,0.75,4.0
251,0,0,0,3.88
1038,0,0,0,4.0
199,0,0,0,8.0
650,0,0,0,8.0
1482,0,0,0,24.0
1413,0,0,0,22.0
1010,0,0,0,28.0
509,0,0,0,0.0
190,0,0,0,14.86
1322,0,0,0,12.0
1041,0,0,0,0.0
718,0,0,0,13.03
881,0,0,0,12.0
1410,0,0,0,12.0
464,0,0,0,4.0
466,0,0,0,5.74
1138,0,0,0,4.0
887,0,0,0,8.0
940,0,0,0,8.0
186,0,0,0,4.0
126,0,0,0,8.32
173,0,0,0,9.38
921,0,0,0,20.0
46,0,0,0,10.88
899,0,0,0,12.0
314,0,0,0,8.0
693,0,0,0,24.0
1411,0,0,0,8.0
1197,0,0,0,0.0
1249,0,0,0,52.0
1445,0,0,0,10.07
71,0,0,0,8.0
1247,0,0,0,8.0
661,0,0,0,0.0
908,0,0,0,0.0
586,0,0,0,0.0
984,0,0,0,4.0
342,0,0,0,4.0
1501,0,0,0,12.0
260,0,0,0,4.75
769,0,0,0,30.0
1492,0,0,0,20.0
1214,0,0,0,12.0
128,0,0,0,0.0
1092,0,0,0,11.78
847,0,0,0,12.0
256,0,0,0,4.75
1324,0,0,0,4.0
1248,0,0,0,18.04
991,0,0,0,12.0
304,0,0,0,8.0
111,0,0,0,12.0
1074,0,0,0,4.0
1164,0,0,0,16.0
885,0,0,0,6.26
1172,0,0,0,4.0
1381,0,0,0,0.0
64,0,0,0,0.0
240,0,0,0,4.0
1119,0,0,0,12.0
42,0,0,0,0.0
627,0,0,0,5.41
1285,0,0,0,20.0
1162,0,0,0,12.0
1258,0,0,0,4.0
1069,0,0,0,10.86
683,0,0,0,4.0
377,0,0,0,8.0
385,0,0,0,12.0
981,0,0,0,12.0
851,0,0,0,16.0
1030,0,0,0,20.0
631,0,0,0,4.5
69,0,0,0,8.0
935,0,0,0,4.0
877,0,0,0,12.86
195,0,0,0,8.0
852,0,0,0,4.0
467,0,0,0,4.0
930,0,0,0,16.0
1347,0,0,0,41.33
311,0,0,0,4.0
795,0,0,0,12.0
745,0,0,0,12.0
44,0,0,0,16.0
88,0,0,0,7.2
