OD_Pair,Total_Passengers,Avg_Travel_Time_min
630 -> 630,400,0.0
298 -> 574,355,35.9
574 -> 349,355,16.69
683 -> 1207,345,25.54
1378 -> 1347,340,4.35
459 -> 575,320,19.97
300 -> 355,305,4.0
732 -> 734,295,8.0
894 -> 893,285,4.0
306 -> 408,280,26.59
943 -> 790,280,12.0
790 -> 522,280,17.12
295 -> 1071,280,74.27
1113 -> 295,280,33.59
187 -> 453,280,29.38
522 -> 524,280,8.0
1071 -> 1113,280,4.0
580 -> 689,275,8.11
147 -> 240,260,14.63
748 -> 748,260,0.0
104 -> 689,255,33.06
642 -> 587,255,4.0
737 -> 411,255,25.83
587 -> 642,255,4.0
527 -> 749,250,24.0
457 -> 458,250,4.0
749 -> 527,250,24.0
896 -> 575,250,24.0
1041 -> 1041,250,0.0
453 -> 452,250,4.0
412 -> 629,245,46.22
409 -> 635,245,14.31
676 -> 732,240,12.0
236 -> 235,240,4.0
348 -> 348,240,0.0
301 -> 289,240,23.98
289 -> 301,240,23.0
1260 -> 1386,235,15.62
1386 -> 144,235,41.85
1152 -> 979,235,16.0
358 -> 418,235,4.0
144 -> 1260,235,42.98
1352 -> 343,230,47.13
343 -> 289,230,8.0
689 -> 414,230,20.0
289 -> 382,225,40.04
904 -> 802,225,12.0
947 -> 631,225,23.93
1435 -> 409,225,42.57
802 -> 904,225,12.0
741 -> 833,225,22.48
1021 -> 500,225,21.78
347 -> 834,225,28.9
1158 -> 407,220,27.45
785 -> 689,220,22.34
1090 -> 1090,220,0.0
1249 -> 1025,220,52.0
207 -> 6,215,24.0
823 -> 497,215,16.26
1288 -> 884,215,22.79
884 -> 616,215,20.0
616 -> 1288,215,37.0
286 -> 1284,215,58.29
1068 -> 611,215,10.95
1215 -> 740,215,29.02
1085 -> 1248,215,27.95
1247 -> 834,215,41.31
941 -> 1232,210,35.62
378 -> 790,210,29.55
584 -> 584,210,0.0
740 -> 496,210,37.33
343 -> 466,210,28.0
565 -> 793,210,30.07
521 -> 522,210,4.38
993 -> 630,210,27.9
634 -> 741,205,8.39
518 -> 470,205,20.88
958 -> 523,200,42.12
1051 -> 1095,200,4.0
294 -> 803,200,40.23
1170 -> 1269,200,27.52
735 -> 187,200,27.12
682 -> 577,200,11.53
412 -> 1246,195,63.56
568 -> 842,195,18.33
1070 -> 637,195,36.92
244 -> 352,195,12.0
352 -> 629,195,50.51
748 -> 797,195,20.0
1153 -> 407,195,38.55
548 -> 1114,195,56.83
737 -> 720,195,36.09
1248 -> 1085,195,27.87
767 -> 923,190,12.0
236 -> 497,190,44.06
291 -> 187,190,12.0
1141 -> 630,190,23.0
105 -> 199,190,12.0
978 -> 624,190,29.89
1080 -> 558,185,35.66
1130 -> 1209,185,8.43
733 -> 732,185,4.0
417 -> 453,185,34.07
1140 -> 285,185,30.97
578 -> 793,185,16.0
724 -> 408,185,20.58
972 -> 871,185,8.0
871 -> 972,185,8.0
1083 -> 1083,185,0.0
675 -> 521,180,24.36
417 -> 468,180,24.0
789 -> 408,180,15.53
954 -> 954,180,0.0
46 -> 111,180,12.0
1214 -> 1092,180,12.22
1092 -> 1214,180,12.11
111 -> 46,180,12.0
190 -> 299,175,15.9
1123 -> 1245,175,21.09
362 -> 607,170,49.91
301 -> 630,170,18.0
261 -> 368,170,15.97
630 -> 301,170,13.97
1109 -> 1114,170,20.0
142 -> 520,170,29.68
837 -> 576,170,10.26
1114 -> 275,170,41.0
1152 -> 1152,170,0.0
1025 -> 830,165,24.0
1141 -> 517,165,21.05
1065 -> 923,165,12.0
368 -> 43,165,28.0
43 -> 368,165,28.0
1085 -> 576,165,21.18
1132 -> 465,165,26.71
629 -> 629,160,0.0
142 -> 94,160,8.0
1536 -> 1536,160,0.0
575 -> 459,160,23.2
1141 -> 581,160,18.91
784 -> 575,160,18.62
944 -> 946,160,8.0
844 -> 524,160,27.81
355 -> 300,160,4.0
1526 -> 1447,160,16.0
629 -> 88,160,17.0
94 -> 142,160,8.0
944 -> 686,160,24.0
737 -> 738,160,4.0
1350 -> 1352,160,8.0
300 -> 198,160,10.41
1352 -> 1445,160,20.0
198 -> 300,160,11.06
408 -> 789,160,10.41
1145 -> 1020,155,16.0
